OF1,OF2,OF3,OF4,EPM,NOR1,NOR2,NOR3,NOR4,MWM,PASTA,group,id
0.288547922,0.342249488,0.329627835,0.339995061,0.476116021,0.673805848,0.688063531,0.661504407,0.764064537,40.46885564,306.2678043,CTR,1
0.191765091,0.298426757,0.242003237,0.260728325,0.401361514,0.599161071,0.648506492,0.671571848,0.710889328,32.92522684,291.0166651,CTR,2
0.238156421,0.159187129,0.152437737,0.181966465,0.360736437,0.72641766,0.78286708,0.834899635,0.857576664,31.35569272,302.3142599,CTR,3
0.25164313,0.227637967,0.261801828,0.240916018,0.378198718,0.682473591,0.784213074,0.757326252,0.773415113,40.49625988,393.2267569,CTR,4
0.240213416,0.223938813,0.278555228,0.29091833,0.405369043,0.652530716,0.650913041,0.651225948,0.618948206,34.45286438,269.4574851,CTR,5
0.214693774,0.237903543,0.222610434,0.168874069,0.343755616,0.656766292,0.756216795,0.80745578,0.857682836,22.36102993,237.3127458,CTR,6
0.2955761,0.26954041,0.259126924,0.233001885,0.370173644,0.693079661,0.740564101,0.801944833,0.810990599,23.15212069,198.9011007,CTR,7
0.215267048,0.073833595,0.020200367,0,0.224458933,0.647545054,0.734715853,0.78116844,0.792972183,23.69955822,370.9541326,CTR,8
0.320921186,0.186060992,0.198003303,0.12359704,0.290248708,0.514529733,0.609113188,0.594368714,0.671317595,39.45925741,447.9777581,CTR,9
0.216864295,0.274195391,0.25225359,0.250814733,0.413764744,0.657617007,0.727899214,0.696515209,0.762778104,36.64765142,318.3696563,CTR,10
0.288547922,0.171363127,0.148454919,0.150242029,0.324313595,0.673805848,0.765408224,0.834981866,1.028868123,20.28613687,244.85786,CTR N,11
0.191765091,0.108733236,0.046595324,0.064012818,0.243989108,0.599161071,0.714801881,0.834552468,0.965720916,14.32981084,250.63198,CTR N,12
0.238156421,0.074655743,0.063525763,0.089496808,0.286760711,0.72641766,0.841230606,0.990344984,1.105249746,10.47137957,161.8986747,CTR N,13
0.25164313,0.108320885,0.136095456,0.106940028,0.271017926,0.682473591,0.826218337,0.897231252,1.006324863,22.23065786,309.7129698,CTR N,14
0.240213416,0.101514977,0.150249583,0.15337827,0.295336995,0.652530716,0.735458882,0.831544497,0.890250828,15.64618502,183.170336,CTR N,15
0.214693774,0.095208716,0.074677945,0.017193449,0.22241112,0.656766292,0.800165942,0.94920747,1.092346941,2.8060632,154.0067374,CTR N,16
0.2955761,0.145554626,0.126192175,0.092563031,0.257822561,0.693079661,0.803847138,0.962063718,1.06310354,2.921424226,100.5188881,CTR N,17
0.215267048,0.029847882,0,0,0.1897402,0.647545054,0.783945732,0.927936824,1.032402148,4.108118604,207.1545645,CTR N,18
0.320921186,0.123973669,0.127858696,0.045203771,0.227534093,0.514529733,0.660698617,0.743374871,0.912873444,21.7431644,328.827847,CTR N,19
0.216864295,0.110736918,0.082678118,0.077147547,0.274830995,0.657617007,0.783481651,0.849318523,1.007941253,17.8607468,259.0143276,CTR N,20
0.233385543,0.12997148,0.121288062,0.011270685,0.233008138,0.63514302,0.739162347,0.94208863,0.795203475,31.17827969,450.2814504,CTR NW,21
0.173164627,0.01629835,0.012296486,0,0.105673952,0.620659396,0.735761562,0.869774674,0.689652761,40.62733512,617.0218612,CTR NW,22
0.249810303,0.166419427,0.179096648,0,0.203656846,0.679470148,0.770933908,0.864402177,0.839647872,22.70848876,396.5406787,CTR NW,23
0.204397818,0.085181735,0.067974926,0,0.149336778,0.586920565,0.592948113,0.747606201,0.735634162,25.02625871,445.1051265,CTR NW,24
0.239898955,0.067590487,0.068652651,0.008143814,0.181671254,0.543670546,0.695196419,0.846358271,0.85509049,26.53441505,378.9224279,CTR NW,25
0.194260189,0.040956855,0.039335251,0,0.112151571,0.632962752,0.715297701,0.843452087,0.725899182,37.76448186,569.2658531,CTR NW,26
0.192406711,0.074198682,0.028896638,0,0.089655691,0.585555868,0.640088438,0.689693146,0.548923211,44.19990977,656.3989617,CTR NW,27
0.196974983,0.082896072,0.133265838,0.02772934,0.260585122,0.567281169,0.679603995,0.824046389,0.846666511,20.53549131,317.1337818,CTR NW,28
0.072560429,0,0,0,0.046114067,0.612920371,0.742250468,0.807107426,0.832430013,21.77225736,528.4135457,CTR NW,29
0.181642694,0.027082206,0,0,0.021004106,0.59289562,0.708584452,0.819236156,0.822598131,34.39360833,687.0719012,CTR NW,30
0.288547922,0.186280175,0.062178603,0.070867819,0.260814227,0.673805848,0.781343418,0.6201203,0.804749636,37.57126865,476.4460935,STZ N,31
0.191765091,0.151167899,0,0.007929517,0.199122468,0.599161071,0.744325241,0.632599659,0.753865748,30.55544823,454.3899964,STZ N,32
0.238156421,0.007753051,0,0,0.16785956,0.72641766,0.887742024,0.804530831,0.908726301,26.10239658,428.1924097,STZ N,33
0.25164313,0.074990085,0.005431119,0,0.174848974,0.682473591,0.895509385,0.733057748,0.830360034,36.14928716,537.855543,STZ N,34
0.240213416,0.072319605,0.023389841,0.036667307,0.201968225,0.652530716,0.739741349,0.605612841,0.655615754,33.94408133,452.5154114,STZ N,35
0.214693774,0.088581103,0,0,0.144323431,0.656766292,0.865512873,0.781287054,0.912822546,16.8560505,366.7377228,STZ N,36
0.2955761,0.112938561,0,0,0.162137571,0.693079661,0.841645768,0.767972417,0.858716804,18.96806688,349.4939307,STZ N,37
0.215267048,0,0,0,0.04477966,0.647545054,0.841002717,0.75214096,0.845396077,19.22077798,492.3696581,STZ N,38
0.320921186,0.027178085,0,0,0.088391867,0.514529733,0.708901663,0.559167765,0.717876693,37.41148739,614.2176359,STZ N,39
0.216864295,0.124677604,0,0,0.210670513,0.657617007,0.831412676,0.664852997,0.812699003,32.98511915,469.6064974,STZ N,40
0.288547922,0.211887916,0.085737725,0,0.198153741,0.673805848,0.747474842,0.557945153,0.445683246,60,808.4063722,STZ NW,41
0.191765091,0.164054398,0,0,0.127848174,0.599161071,0.720013074,0.579503101,0.403424017,57.37313526,788.4955885,STZ NW,42
0.238156421,0.05878635,0,0,0.122415228,0.72641766,0.873906852,0.761387417,0.567740058,52.01719729,729.376424,STZ NW,43
0.25164313,0.115327267,0.042541326,0,0.122162087,0.682473591,0.897153594,0.704619746,0.503343932,60,835.804507,STZ NW,44
0.240213416,0.110859221,0.058846287,0,0.148064169,0.652530716,0.698246122,0.536192375,0.289666312,60,780.8815484,STZ NW,45
0.214693774,0.118662413,0,0,0.084692087,0.656766292,0.864699051,0.750513923,0.583588072,41.99587112,673.2949221,STZ NW,46
0.2955761,0.154648373,0.034558422,0,0.110380119,0.693079661,0.822224324,0.719522045,0.51268895,45.30833679,660.7722729,STZ NW,47
0.215267048,0,0,0,0.0074535,0.647545054,0.83472374,0.716175932,0.5112293,44.56323243,780.320901,STZ NW,48
0.320921186,0.09121039,0,0,0.051749421,0.514529733,0.697606829,0.518437673,0.379183106,60,904.8802724,STZ NW,49
0.216864295,0.147982399,0.016943961,0,0.146450656,0.657617007,0.818982579,0.623044406,0.472980841,58.94563024,788.614976,STZ NW,50